id,name,code,type,url,icon_sign,status,sort,open_type,pid
100,系统管理,ums:rights,menu,,layui-icon layui-icon-set-fill,,2,,0
101,权限管理,ums:rights:list,path,/system/rights/index.html,layui-icon layui-icon-console,,1,,100
102,新增权限,ums:rights:create,auth,,,,0,,101
103,修改权限,ums:rights:update,auth,,,,0,,101
104,获取权限,ums:rights:read,auth,,,,0,,101
105,删除权限,ums:rights:delete,auth,,,,0,,101
106,角色管理,ums:role,path,/system/role/index.html,layui-icon layui-icon-console,,2,,100
107,新增角色,ums:role:create,auth,,,,0,,106
109,修改角色,ums:role:update,auth,,,,0,,106
108,查询角色,ums:role:read,auth,,,,0,,106
110,删除角色,ums:role:delete,auth,,,,0,,106
111,部门管理,ums:department,path,/system/department/index.html,layui-icon layui-icon-console,,3,,100
112,新建部门,ums:department:create,auth,,,,0,,111
113,修改部门,ums:department:update,auth,,,,0,,111
114,删除部门,ums:department:delete,auth,,,,0,,111
115,查询部门,ums:department:read,auth,,,,0,,111
116,用户管理,ums:user,path,/system/user/index.html,layui-icon layui-icon-console,,4,,100
117,新增用户,ums:user:create,auth,,,,0,,116
118,修改用户,ums:user:update,auth,,,,0,,116
119,查询用户,ums:user:read,auth,,,,0,,116
120,查询用户,ums:user:read,auth,,,,0,,116
124,工作空间,,menu,,layui-icon layui-icon-console,,1,,0
125,工作台,,path,/view/console/index.html,layui-icon layui-icon-console,,2,_component,124
126,首页,,path,/view/analysis/index.html,layui-icon layui-icon-console,,1,_component,124
